Effect,Observed,Alias_Chain,Prior,Likelihood,Posterior,Posterior_Norm
A,10.804141441797896,"A, ABCDHI, ABCFGI, ABDEGI, ABEFHI, ACDEFI, ACEGHI, ADFGHI, BCDEFGHI, BCEI, BDFI, BGHI, CDGI, CFHI, DEHI, EFGI",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
B,6.499970639343829,"ABCDGI, ABCFHI, ABDEHI, ABEFGI, ACDEFGHI, ACEI, ADFI, AGHI, B, BCDEFI, BCEGHI, BDFGHI, CDHI, CFGI, DEGI, EFHI",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
C,-2.1967125445342504,"ABCDFI, ABCGHI, ABDEFGHI, ABEI, ACDEHI, ACEFGI, ADGI, AFHI, BCDEGI, BCEFHI, BDHI, BFGI, C, CDFGHI, DEFI, EGHI",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
D,1.4532816862024376,"ABCDEI, ABCEFGHI, ABDGHI, ABFI, ACDFHI, ACGI, ADEFGI, AEHI, BCDFGI, BCHI, BDEFHI, BEGI, CDEGHI, CEFI, D, FGHI",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
E,5.132843413814889,"ABCDFGHI, ABCI, ABDEFI, ABEGHI, ACDEGI, ACEFHI, ADHI, AFGI, BCDEHI, BCEFGI, BDGI, BFHI, CDFI, CGHI, DEFGHI, E",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
F,0.1723504246566563,"ABCDEGHI, ABCEFI, ABDI, ABFGHI, ACDFGI, ACHI, ADEFHI, AEGI, BCDFHI, BCGI, BDEFGI, BEHI, CDEI, CEFGHI, DGHI, F",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
G,0.09096294473559396,"ABCDEFHI, ABCEGI, ABDFGI, ABHI, ACDI, ACFGHI, ADEGHI, AEFI, BCDGHI, BCFI, BDEI, BEFGHI, CDEFGI, CEHI, DFHI, G",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
H,1.0728041735837621,"ABCDEFGI, ABCEHI, ABDFHI, ABGI, ACDGHI, ACFI, ADEI, AEFGHI, BCDI, BCFGHI, BDEGHI, BEFI, CDEFHI, CEGI, DFGI, H",0.3,0.19947114020071635,0.0598413420602149,0.057692307692307696
AB,0.9470344550582439,"AB, ABCDEFI, ABCEGHI, ABDFGHI, ACDHI, ACFGI, ADEGI, AEFHI, BCDGI, BCFHI, BDEHI, BEFGI, CDEFGHI, CEI, DFI, GHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AC,-0.6673937417540401,"ABCDEGI, ABCEFHI, ABDHI, ABFGI, AC, ACDFGHI, ADEFI, AEGHI, BCDFI, BCGHI, BDEFGHI, BEI, CDEHI, CEFGI, DGI, FHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AD,0.6571708168777946,"ABCDFGI, ABCHI, ABDEFHI, ABEGI, ACDEGHI, ACEFI, AD, AFGHI, BCDEI, BCEFGHI, BDGHI, BFI, CDFHI, CGI, DEFGI, EHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AE,7.258339894894963,"ABCDEHI, ABCEFGI, ABDGI, ABFHI, ACDFI, ACGHI, ADEFGHI, AE, BCDFGHI, BCI, BDEFI, BEGHI, CDEGI, CEFHI, DHI, FGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AF,0.4269843189103568,"ABCDFHI, ABCGI, ABDEFGI, ABEHI, ACDEI, ACEFGHI, ADGHI, AF, BCDEGHI, BCEFI, BDI, BFGHI, CDFGI, CHI, DEFHI, EGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AG,-1.0977154650221266,"ABCDGHI, ABCFI, ABDEI, ABEFGHI, ACDEFGI, ACEHI, ADFHI, AG, BCDEFHI, BCEGI, BDFGI, BHI, CDI, CFGHI, DEGHI, EFI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
AH,-0.12296656814327633,"ABCDI, ABCFGHI, ABDEGHI, ABEFI, ACDEFHI, ACEGI, ADFGI, AH, BCDEFGI, BCEHI, BDFHI, BGI, CDGHI, CFI, DEI, EFGHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BC,7.258339894894963,"ABCDEHI, ABCEFGI, ABDGI, ABFHI, ACDFI, ACGHI, ADEFGHI, AEI, BC, BCDFGHI, BDEFI, BEGHI, CDEGI, CEFHI, DHI, FGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BD,0.4269843189103568,"ABCDFHI, ABCGI, ABDEFGI, ABEHI, ACDEI, ACEFGHI, ADGHI, AFI, BCDEGHI, BCEFI, BD, BFGHI, CDFGI, CHI, DEFHI, EGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BE,-0.6673937417540401,"ABCDEGI, ABCEFHI, ABDHI, ABFGI, ACDFGHI, ACI, ADEFI, AEGHI, BCDFI, BCGHI, BDEFGHI, BE, CDEHI, CEFGI, DGI, FHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BF,0.6571708168777946,"ABCDFGI, ABCHI, ABDEFHI, ABEGI, ACDEGHI, ACEFI, ADI, AFGHI, BCDEI, BCEFGHI, BDGHI, BF, CDFHI, CGI, DEFGI, EHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BG,-0.12296656814327633,"ABCDI, ABCFGHI, ABDEGHI, ABEFI, ACDEFHI, ACEGI, ADFGI, AHI, BCDEFGI, BCEHI, BDFHI, BG, CDGHI, CFI, DEI, EFGHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
BH,-1.0977154650221266,"ABCDGHI, ABCFI, ABDEI, ABEFGHI, ACDEFGI, ACEHI, ADFHI, AGI, BCDEFHI, BCEGI, BDFGI, BH, CDI, CFGHI, DEGHI, EFI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
CD,-1.0977154650221266,"ABCDGHI, ABCFI, ABDEI, ABEFGHI, ACDEFGI, ACEHI, ADFHI, AGI, BCDEFHI, BCEGI, BDFGI, BHI, CD, CFGHI, DEGHI, EFI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
CE,0.9470344550582439,"ABCDEFI, ABCEGHI, ABDFGHI, ABI, ACDHI, ACFGI, ADEGI, AEFHI, BCDGI, BCFHI, BDEHI, BEFGI, CDEFGHI, CE, DFI, GHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
CF,-0.12296656814327633,"ABCDI, ABCFGHI, ABDEGHI, ABEFI, ACDEFHI, ACEGI, ADFGI, AHI, BCDEFGI, BCEHI, BDFHI, BGI, CDGHI, CF, DEI, EFGHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
CG,0.6571708168777946,"ABCDFGI, ABCHI, ABDEFHI, ABEGI, ACDEGHI, ACEFI, ADI, AFGHI, BCDEI, BCEFGHI, BDGHI, BFI, CDFHI, CG, DEFGI, EHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
CH,0.4269843189103568,"ABCDFHI, ABCGI, ABDEFGI, ABEHI, ACDEI, ACEFGHI, ADGHI, AFI, BCDEGHI, BCEFI, BDI, BFGHI, CDFGI, CH, DEFHI, EGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
DE,-0.12296656814327633,"ABCDI, ABCFGHI, ABDEGHI, ABEFI, ACDEFHI, ACEGI, ADFGI, AHI, BCDEFGI, BCEHI, BDFHI, BGI, CDGHI, CFI, DE, EFGHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
DF,0.9470344550582439,"ABCDEFI, ABCEGHI, ABDFGHI, ABI, ACDHI, ACFGI, ADEGI, AEFHI, BCDGI, BCFHI, BDEHI, BEFGI, CDEFGHI, CEI, DF, GHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
DG,-0.6673937417540401,"ABCDEGI, ABCEFHI, ABDHI, ABFGI, ACDFGHI, ACI, ADEFI, AEGHI, BCDFI, BCGHI, BDEFGHI, BEI, CDEHI, CEFGI, DG, FHI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
DH,7.258339894894963,"ABCDEHI, ABCEFGI, ABDGI, ABFHI, ACDFI, ACGHI, ADEFGHI, AEI, BCDFGHI, BCI, BDEFI, BEGHI, CDEGI, CEFHI, DH, FGI",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
EF,-1.0977154650221266,"ABCDGHI, ABCFI, ABDEI, ABEFGHI, ACDEFGI, ACEHI, ADFHI, AGI, BCDEFHI, BCEGI, BDFGI, BHI, CDI, CFGHI, DEGHI, EF",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
EG,0.4269843189103568,"ABCDFHI, ABCGI, ABDEFGI, ABEHI, ACDEI, ACEFGHI, ADGHI, AFI, BCDEGHI, BCEFI, BDI, BFGHI, CDFGI, CHI, DEFHI, EG",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
EH,0.6571708168777946,"ABCDFGI, ABCHI, ABDEFHI, ABEGI, ACDEGHI, ACEFI, ADI, AFGHI, BCDEI, BCEFGHI, BDGHI, BFI, CDFHI, CGI, DEFGI, EH",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
FG,7.258339894894963,"ABCDEHI, ABCEFGI, ABDGI, ABFHI, ACDFI, ACGHI, ADEFGHI, AEI, BCDFGHI, BCI, BDEFI, BEGHI, CDEGI, CEFHI, DHI, FG",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
FH,-0.6673937417540401,"ABCDEGI, ABCEFHI, ABDHI, ABFGI, ACDFGHI, ACI, ADEFI, AEGHI, BCDFI, BCGHI, BDEFGHI, BEI, CDEHI, CEFGI, DGI, FH",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
GH,0.9470344550582439,"ABCDEFI, ABCEGHI, ABDFGHI, ABI, ACDHI, ACFGI, ADEGI, AEFHI, BCDGI, BCFHI, BDEHI, BEFGI, CDEFGHI, CEI, DFI, GH",0.1,0.19947114020071635,0.019947114020071637,0.019230769230769235
